id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
62033,Home in Newark · ★4.86 · 1 bedroom · 1 bed · 1 bath,301435,Fred,,North,40.77278,-74.17206,Private room,80,2,77,2023-10-16,0.50,1,362,3,
1975091,Home in Newark · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,9169027,Kimberly B,,West,40.74492,-74.19763,Private room,50,10,93,2023-10-26,0.79,5,290,8,
2159185,Home in Newark · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,9169027,Kimberly B,,West,40.74447,-74.19457,Private room,48,9,99,2023-12-10,0.83,5,334,4,
2277901,Home in Maplewood · ★4.67 · 1 bedroom · 1 bed · 1 private bath,11308972,Tendai D,,West,40.73465,-74.24753,Private room,75,3,61,2023-11-24,0.53,2,338,11,
2279324,Rental unit in Maplewood · ★4.54 · 1 bedroom · 3 beds · 1 bath,11308972,Tendai D,,West,40.73392,-74.24569,Entire home/apt,90,5,63,2023-08-31,0.54,2,359,1,
2695185,Home in Newark · ★4.77 · 1 bedroom · 2 beds · 1 private bath,9169027,Kimberly B,,West,40.74623,-74.19658,Private room,62,10,112,2023-12-11,0.99,5,354,7,
2927685,Home in Newark · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,9169027,Kimberly B,,West,40.74506,-74.19784,Private room,48,9,108,2023-11-05,0.95,5,361,6,
3319300,Rental unit in Newark · ★4.59 · 1 bedroom · 1 bed · 1 bath,2034171,David,,North,40.78116,-74.1737,Entire home/apt,72,2,156,2023-12-12,1.35,1,29,15,
4007546,Rental unit in Newark · ★4.97 · 1 bedroom · 1 bed · 1 private bath,2734824,Lei,,East,40.72855,-74.15917,Private room,67,2,61,2023-09-19,0.54,1,90,6,
4015993,Home in Newark · ★4.96 · 1 bedroom · 1 bed · 1 private bath,20822869,Tom,,North,40.7672,-74.17303,Private room,82,1,45,2023-10-17,0.40,1,230,6,
4408881,Rental unit in Newark · ★4.82 · 1 bedroom · 1 bed · 1 bath,296707902,Sergio,,North,40.78038,-74.17197,Entire home/apt,70,5,176,2023-11-28,1.60,1,321,13,
5459428,Home in Newark · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,9169027,Kimberly B,,West,40.74547,-74.19773,Private room,39,6,69,2022-06-25,0.64,5,276,0,
6134188,Home in Newark · ★4.98 · 4 bedrooms · 4 beds · 4 baths,26222479,Caro-Lina,,North,40.76394,-74.17272,Entire home/apt,350,2,53,2018-01-01,0.50,1,31,0,
7612811,Home in Newark · ★4.27 · 1 bedroom · 1 bed · 1 shared bath,39925277,David,,West,40.73656,-74.24015,Private room,350,5,22,2019-10-13,0.22,1,365,0,
8106551,Rental unit in Newark · ★4.53 · 1 bedroom · 3 beds · 1 bath,37522191,Arica,,East,40.72976,-74.14615,Entire home/apt,120,1,38,2023-04-30,0.57,1,360,1,
8116202,Townhouse in Newark · ★4.74 · 3 bedrooms · 6 beds · 2 baths,23630245,Bart,,East,40.7315,-74.16316,Entire home/apt,100,28,119,2023-12-13,1.34,1,91,7,
8404849,Guest suite in Newark · ★4.95 · 1 bedroom · 2 beds · 1 bath,23767297,Sandy & Tone,,South,40.70617,-74.21037,Entire home/apt,125,7,41,2022-07-04,1.56,1,60,0,
8628016,Rental unit in Newark · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,45377447,Katiuscia & Andre,,East,40.72656,-74.15298,Private room,120,2,7,2017-09-01,0.08,1,362,0,
8713883,Rental unit in Newark · ★4.48 · 1 bedroom · 1 bed · 1 shared bath,43545556,Leslie,,East,40.73181,-74.16517,Private room,84,2,27,2023-12-27,0.27,1,362,15,
8906383,Rental unit in Newark · ★4.81 · 1 bedroom · 2 beds · 1 shared bath,20241104,Marlene R,,East,40.73321,-74.14139,Private room,60,1,123,2023-12-18,1.25,2,87,6,
9357365,Rental unit in Newark · ★4.55 · 3 bedrooms · 3 beds · 1 bath,24815236,Mario,,West,40.74446,-74.22019,Entire home/apt,114,7,11,2023-11-10,0.57,27,329,6,
9449534,Condo in Newark · ★4.77 · 1 bedroom · 1 bed · 1 bath,48966617,Martin,,South,40.70607376098633,-74.20662689208984,Entire home/apt,80,10,22,2023-11-04,0.23,1,172,5,
9733571,Rental unit in Newark · ★4.55 · 1 bedroom · 1 bath,24815236,Mario,,West,40.74075,-74.22714,Entire home/apt,60,7,40,2023-10-29,0.49,27,302,3,
10218263,Rental unit in Newark · ★4.88 · Studio · 2 beds · 1 shared bath,20241104,Marlene R,,East,40.73244094848633,-74.1421127319336,Private room,48,1,171,2023-12-30,1.83,2,0,49,
11371204,Home in Newark · ★4.47 · 1 bedroom · 1 bed · 2.5 shared baths,1315486,Roy,,East,40.73059,-74.16423,Private room,221,1,404,2023-08-19,4.24,5,356,5,
11371231,Home in Newark · ★4.51 · 1 bedroom · 2 beds · 2.5 shared baths,1315486,Roy,,East,40.73094,-74.16227,Private room,221,1,342,2023-10-08,3.59,5,307,8,
11420487,Home in Newark · ★4.23 · 1 bedroom · 1 bed · 2.5 shared baths,1315486,Roy,,East,40.73124,-74.16298,Private room,221,1,275,2023-06-23,2.89,5,284,6,
11450219,Condo in Newark · ★4.32 · 2 bedrooms · 2 beds · 1 bath,24815236,Mario,,West,40.74081,-74.22709,Entire home/apt,110,7,25,2023-11-23,0.31,27,356,8,
11460244,Home in Newark · ★4.54 · 1 bedroom · 1 bed · 2.5 shared baths,1315486,Roy,,East,40.73204,-74.16218,Private room,221,1,256,2023-06-30,2.69,5,354,6,
11461591,Home in Newark · ★4.57 · 1 bedroom · 1 bed · 2.5 shared baths,1315486,Roy,,East,40.73227,-74.16403,Private room,242,1,329,2023-11-11,3.45,5,348,9,
13688455,Rental unit in Newark · ★4.45 · 1 bedroom · 1 bed · 1 bath,70526911,Chateau,,Central,40.73295,-74.19537,Entire home/apt,85,1,304,2023-12-03,3.34,4,363,16,
13740183,Tiny home in Newark · ★4.79 · 2 beds · 1 bath,79153497,Natalie,,North,40.76843,-74.17083,Entire home/apt,146,3,43,2023-12-16,0.48,9,84,15,
14090491,Home in Newark · ★4.93 · 1 bedroom · 2 beds · 1 private bath,84758841,Kimberly,,South,40.71491,-74.19023,Private room,71,1,353,2023-12-16,3.90,1,359,26,
14766478,Rental unit in Newark · ★4.73 · 2 bedrooms · 2 beds · 1 bath,26250193,Gustavo A.,,North,40.75874,-74.17824,Entire home/apt,135,5,26,2023-12-18,1.02,3,175,9,
